,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/29/20,73880,13030,10779,74633.92451097321,11307.211345139467,14070.864143887311
3/30/20,75528,14620,11591,72332.58243897068,12104.750499291871,15574.66706173744
3/31/20,77635,15729,12428,69960.46995127924,12874.558011891777,17176.972036828975
4/1/20,80572,16847,13155,67538.04859472383,13601.842289940696,18872.109115335465
4/2/20,83049,18278,13915,65084.81651328535,14273.598324501163,20653.585162213487
4/3/20,85388,19758,14681,62619.30844810059,14878.607690696741,22514.08386120267
4/4/20,88274,20996,15362,60159.09573746233,15407.438547712014,24445.46571482566
4/5/20,91246,21815,15887,57720.78631681928,15852.445638792598,26438.768044388125
4/6/20,93187,22837,16523,55320.02471877607,16207.770291245131,28484.204989978796
4/7/20,94067,24392,17127,52971.49207309331,16469.34041643728,30571.167510469415
4/8/20,95262,26491,17669,50688.9061066875,16634.87050979773,32688.22338351477
4/9/20,96877,28470,18279,48485.021143631144,16703.8616508162,34823.11720555267
4/10/20,98273,30455,18849,46371.62810515263,16677.60150304343,36962.77039180394
4/11/20,100269,32534,19468,44359.55450963632,16559.164314091187,39093.28117627249
4/12/20,102253,34211,19899,42457.859247867884,16353.920863034169,41200.219889097956
4/13/20,103616,35435,20465,40663.86162302517,16074.349193352611,43273.789183622226
4/14/20,104291,37130,21067,38976.444298908384,15729.242961385336,45306.31273970629
4/15/20,105418,38092,21645,37395.8730357062,15325.718124566443,47290.40883972736
4/16/20,106607,40164,22170,35921.52853225205,14870.93686026521,49219.53460748275
4/17/20,106962,42727,22745,34551.90642602406,14372.107565786097,51087.98600818985
4/18/20,107771,44927,23227,33284.61729314509,13836.484858368742,52890.89784848617
4/19/20,108257,47055,23660,32116.38664838273,13271.369575187966,54624.24377642931
4/20/20,108237,48877,24114,31043.054945149262,12684.108773353772,56284.836281496966
4/21/20,107709,51600,24648,30059.577575501724,12082.09572991134,57870.32669458694
4/22/20,107699,54543,25085,29160.024870141853,11472.769941841034,59379.20518801711
4/23/20,106848,57576,25549,28337.58209841612,10863.617126058398,60810.80077552549
4/24/20,106527,60498,25969,27584.5494683157,10262.169219414154,62165.28131227015
4/25/20,105847,63120,26384,26892.342126476513,9676.004378694206,63443.65349482929
4/26/20,106103,64928,26644,26251.490158179182,9112.746980619642,64647.76286120118
4/27/20,105813,66624,26977,25651.63858734906,8580.067621846729,65780.29379080422
4/28/20,105205,68941,27359,25089.845444115184,8076.905592853883,66845.24896303093
4/29/20,104657,71252,27682,24572.065067460077,7593.26281554981,67846.67211699011
4/30/20,101551,75945,27967,24095.23151540579,7129.384270292089,68787.38421430212
5/1/20,100943,78249,28236,23656.317216972995,6685.5415377310665,69670.14124529593
5/2/20,100704,79914,28710,23252.45024999833,6261.904844307906,70497.64490569376
5/3/20,100179,81654,28884,22880.914341134398,5858.543062254588,71272.542596611
5/4/20,99980,82879,29079,22539.148865849776,5475.42370959391,71997.42742455631
5/5/20,98467,85231,29315,22224.748848429008,5112.412950139486,72674.8382014315
5/6/20,91528,93245,29684,21935.46496197261,4769.27559349575,73307.25944453164
5/7/20,89624,96276,29958,21669.203528397076,4445.675095057949,73897.12137654496
5/8/20,87961,99023,30201,21424.02651843485,4141.173556012149,74446.799925553
5/9/20,84842,103031,30395,21198.15155163436,3855.231723335234,74958.6167250304
5/10/20,83324,105186,30560,20989.951896360002,3587.2089897949045,75434.83911384508
5/11/20,82488,106587,30739,20797.956469792138,3336.3633939496776,75877.68013625818
5/12/20,81266,109039,30911,20620.8498379271,3101.851620148889,76289.298541924
5/13/20,78457,112541,31106,20457.472215577196,2882.728998532687,76671.7987858901
5/14/20,76440,115288,31368,20306.819466370696,2677.949505032044,77027.23102859725
5/15/20,72070,120205,31610,20167.812010693713,2486.5708486714384,77357.61714063484
5/16/20,70187,122810,31763,20039.462757959525,2307.941267623286,77664.59597441719
5/17/20,68351,125176,31908,19921.050863412762,2141.3805926573773,77949.56854392985
5/18/20,66553,127326,32007,19811.88057111418,1986.2229984060787,78213.89643047974
05/19/20,,,,19711.281204042007,1841.8170085219685,78458.90178743601
05/20/20,,,,19618.60716409194,1707.5254956778358,78685.86734023022
05/21/20,,,,19533.237932077147,1582.7256815666813,78896.03638635617
05/22/20,,,,19454.578067728267,1466.8091369017163,79090.61279537
05/23/20,,,,19382.057209693405,1359.181781416365,79270.76100889023
05/24/20,,,,19315.13007553814,1259.263883864261,79437.60604059759
05/25/20,,,,19253.276461745525,1166.4900620192498,79592.23347623521
05/26/20,,,,19196.001284174206,1080.309267493041,79735.68944833275
05/27/20,,,,19142.92196082052,1000.1996404700166,79868.87839870946
05/28/20,,,,19093.806674263953,925.7810962693893,79992.41222946666
05/29/20,,,,19048.416796832935,856.7279781306647,80106.8552250364
05/30/20,,,,19006.5180475894,792.7212217672691,80212.76073064333
05/31/20,,,,18967.88049232881,733.4483553665502,80310.67115230464
06/01/20,,,,18932.27854358014,678.6034995897769,80401.11795683009
06/02/20,,,,18899.49096060588,627.887367572139,80484.62167182198
06/03/20,,,,18869.300849402025,581.0072649227479,80561.69188567523
06/04/20,,,,18841.495662698104,537.6770897246356,80632.82724757725
06/05/20,,,,18815.867199957152,497.61733253475563,80698.51546750808
06/06/20,,,,18792.21160737572,460.5550763839826,80759.2333162403
06/07/20,,,,18770.32937788388,426.2239967771121,80815.44662533901
06/08/20,,,,18750.025351145214,394.3643616928615,80867.61028716192
06/09/20,,,,18731.132051350593,364.74274108908446,80916.12520756033
06/10/20,,,,18713.617951170036,337.2562600253138,80961.12578880465
06/11/20,,,,18697.413197937247,311.7896502077513,81002.797151855
06/12/20,,,,18682.43767298137,288.2212343237512,81041.34109269487
06/13/20,,,,18668.61276826304,266.43178212871146,81076.95544960826
06/14/20,,,,18655.86138637438,246.30451044607375,81109.83410317954
06/15/20,,,,18644.10794053904,227.72508316732376,81140.16697629364
06/16/20,,,,18633.27835461215,210.5816112519908,81168.14003413587
06/17/20,,,,18623.300063080336,194.76465272764798,81193.93528419202
06/18/20,,,,18614.102011061743,180.16721268991233,81217.73077624834
06/19/20,,,,18605.614654306002,166.68474330244453,81239.70060239156
06/20/20,,,,18597.769959194244,154.2151437969492,81260.0148970088
06/21/20,,,,18590.501402739108,142.65876047317462,81278.83983678772
06/22/20,,,,18583.744104078876,131.91855279005023,81296.33734313108
06/23/20,,,,18577.466123253835,121.94065417433436,81312.59322257183
06/24/20,,,,18571.652821072872,112.69699082705,81327.65018810007
06/25/20,,,,18566.276355566846,104.14377672009552,81341.57986771305
06/26/20,,,,18561.30941779047,96.23808562548416,81354.45249658404
06/27/20,,,,18556.725231822318,88.93785111534419,81366.33691706233
06/28/20,,,,18552.497554764803,82.20186656191873,81377.30057867327
06/29/20,,,,18548.600676744212,75.98978513756592,81387.40953811821
06/30/20,,,,18545.00942091068,70.2621198147587,81396.72845927456
07/01/20,,,,18541.69914343819,64.98024336608509,81405.32061319573
07/02/20,,,,18538.645733524594,60.10638836424798,81413.24787811116
07/03/20,,,,18535.825613391586,55.60364718206516,81420.57073942634
07/04/20,,,,18533.215738284718,51.43597199246942,81427.34828972281
07/05/20,,,,18530.79359647341,47.56817476850843,81433.63822875808
07/06/20,,,,18528.540211997024,43.97037406082853,81439.48941394215
07/07/20,,,,18526.451270835394,40.634725832680154,81444.91400333193
07/08/20,,,,18524.518060176408,37.547240007033196,81449.93469981656
07/09/20,,,,18522.73104429862,34.692747412253034,81454.57620828913
07/10/20,,,,18521.080873804458,32.05637803597294,81458.86274815956
07/11/20,,,,18519.55838562023,29.623561025094077,81462.81805335468
07/12/20,,,,18518.1546029961,27.380024685785504,81466.46537231811
07/13/20,,,,18516.860735506125,25.311796483484173,81469.8274680104
07/14/20,,,,18515.668179048225,23.405203042894925,81472.92661790887
07/15/20,,,,18514.5685158442,21.646870147990526,81475.7846140078
07/16/20,,,,18513.553514439718,20.023722742011593,81478.42276281827
07/17/20,,,,18512.61512970432,18.522984927466663,81480.86188536821
07/18/20,,,,18511.745502831433,17.132179966132192,81483.12231720243
07/19/20,,,,18510.937001369668,15.839192546574603,81485.22380608376
07/20/20,,,,18510.186044698108,14.638236999189948,81487.17571830271
07/21/20,,,,18509.490647343453,13.526071537565285,81488.98328111898
07/22/20,,,,18508.847474336708,12.497369440169265,81490.65515622313
07/23/20,,,,18508.25325551627,11.546907832840336,81492.19983665089
07/24/20,,,,18507.704785527912,10.669567688786735,81493.6256467833
07/25/20,,,,18507.198923824802,9.860333828586496,81494.94074234662
07/26/20,,,,18506.732594667486,9.114294920187454,81496.15311041233
07/27/20,,,,18506.302787123896,8.426643478907225,81497.27056939721
07/28/20,,,,18505.90655506935,7.792675867433234,81498.30076906322
07/29/20,,,,18505.541017186548,7.207792295822692,81499.25119051764
07/30/20,,,,18505.203356965583,6.667496821502601,81500.12914621292
07/31/20,,,,18504.890822703925,6.167397349269775,81500.9417799468
08/01/20,,,,18504.600727506433,5.703205631290807,81501.69606686228
08/02/20,,,,18504.330867012697,5.271399651856584,81502.39773333546
08/03/20,,,,18504.080733524057,4.871152846406904,81503.04811362954
08/04/20,,,,18503.849252953067,4.500745813828541,81503.65000123311
08/05/20,,,,18503.635280905102,4.158348204159229,81504.20637089074
08/06/20,,,,18503.437695483364,3.8421656914874567,81504.72013882516
08/07/20,,,,18503.255397288856,3.5504399739524564,81505.1941627372
08/08/20,,,,18503.087309420414,3.281448773744212,81505.63124180585
08/09/20,,,,18502.932377474674,3.033505837103451,81506.03411668823
