,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/27/20,0,3,0,99873.94877018227,92.44549369921984,46.60573611850504
2/28/20,0,3,0,99860.97419823767,101.64989444971576,50.37590731260656
2/29/20,0,3,0,99846.69463232819,111.7795018824973,54.525865789300525
3/1/20,0,3,0,99830.9758303545,122.92932264881993,59.09484699667475
3/2/20,2,3,0,99813.67285164885,135.20191420018944,64.12523415094076
3/3/20,2,3,0,99794.63005697519,148.7073847883616,69.66255823643365
3/4/20,25,3,0,99773.68110852904,163.5633934653427,75.7554980056123
3/5/20,27,3,0,99750.64896993754,179.8951500833889,82.45587997905913
3/6/20,28,3,0,99725.3459062595,197.83541529500695,89.81867844548033
3/7/20,31,3,0,99697.55181881873,217.5389190082829,97.9092621729774
3/8/20,36,3,0,99666.98405199176,239.20334331793333,106.81260469028852
3/9/20,40,3,0,99633.4059606353,262.99761007802147,116.59642928666577
3/10/20,52,4,0,99596.5444526837,289.1160086345067,127.33953868179215
3/11/20,57,4,1,99556.08242753564,317.7831917539087,139.13438071044644
3/12/20,68,4,1,99511.65877605417,349.2541756233072,152.08704832250314
3/13/20,76,4,2,99462.86838056671,383.81433985034266,166.31727958293243
3/14/20,96,4,2,99409.26211486498,421.77942746321537,181.95845767180026
3/15/20,98,13,2,99350.34684420504,463.495544910686,199.1576108842683
3/16/20,104,13,2,99285.58542530732,509.3391620620758,218.07541263059392
3/17/20,125,14,3,99214.3967063566,559.7171122072659,238.88618143613013
3/18/20,139,14,3,99136.15552700196,615.0665920566978,261.777880941326
3/19/20,175,15,4,99050.19271835689,675.8551617413736,286.95211990172584
3/20/20,219,20,5,98955.79510299917,742.5807448128553,314.62415218796997
3/21/20,303,23,4,98852.20549497093,815.7716282432652,345.02287678579444
3/22/20,362,27,7,98738.62269977867,895.9864624252859,378.39083779603106
3/23/20,462,27,10,98614.19420193281,983.8087396028075,414.99705846437115
3/24/20,486,40,10,98477.9242428775,1079.8869251803055,455.1888319421845
3/25/20,602,43,12,98328.67606333924,1185.036759612041,499.287177048712
3/26/20,662,45,20,98165.2048383193,1300.1473384958244,547.6478231848539
3/27/20,794,73,20,97986.15636564416,1426.1701709229321,600.6734634329016
3/28/20,879,84,24,97790.06706596534,1564.119179478105,658.8137545565373
3/29/20,902,95,27,97575.3639827596,1715.0707002395484,722.5653170008347
3/30/20,1117,102,32,97340.3647823288,1880.1634827789326,792.4717348922579
3/31/20,1239,123,35,97083.27775379994,2060.5986901613933,869.123556038663
4/1/20,1792,148,58,96802.20180912517,2257.6398989455292,953.158291929296
4/2/20,2280,191,72,96495.12648308178,2472.613099183406,1045.2604177347948
4/3/20,2303,192,72,96159.93193327225,2706.9066944205533,1146.1613723071882
4/4/20,2767,229,86,95794.38894012413,2961.9715016959653,1256.639558179896
4/5/20,3260,229,99,95396.15890689015,3239.320751542102,1377.5203415677288
4/6/20,4267,375,136,94962.79385964821,3540.5300879848846,1509.6760523668881
4/7/20,4740,421,150,94491.73644730131,3867.237568543704,1654.0259841549675
4/8/20,5232,506,178,93980.4549179864,4221.024462847113,1811.5206191664702
4/9/20,5879,620,226,93428.11950823759,4601.898896376042,1982.9815953863495
4/10/20,6578,774,246,92831.07097222036,5012.238067409843,2169.6909603697754
