,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
06/04/20,,,,3045.464653621049,49808.31816841692,72157.21717796201
06/05/20,,,,2792.2924444959567,48367.99099656916,73850.71655893486
06/06/20,,,,2566.7462027495008,46949.261595073716,75494.99220217677
06/07/20,,,,2365.340206684339,45554.77190994285,77090.8878833728
06/08/20,,,,2185.0030675269327,44186.72205626831,78639.27487620474
06/09/20,,,,2023.0777294275413,42846.87031822132,80141.05195235112
06/10/20,,,,1877.3214694602286,41536.533149052615,81597.14538148715
06/11/20,,,,1745.905897622859,40256.585171092374,83008.50893128476
06/12/20,,,,1627.416956837098,39007.4591757503,84376.12386741259
06/13/20,,,,1520.5969804914027,37789.37735126954,85701.02566823903
06/14/20,,,,1423.7263798414215,36602.89212708952,86984.38149306904
06/15/20,,,,1335.7736094403494,35447.90181794571,88227.32457261391
06/16/20,,,,1255.8373209687395,34324.19824725947,89430.96443177178
06/17/20,,,,1183.0860477975093,33231.522170751065,90596.3917814514
06/18/20,,,,1116.758204987942,32169.563276439763,91724.67851857227
06/19/20,,,,1056.1620892916844,31137.960184643765,92816.87772606453
06/20/20,,,,1000.6758791507486,30136.300447980233,93874.02367286899
06/21/20,,,,949.7476346975116,29164.120551365275,94897.1318139372
06/22/20,,,,902.8952977547146,28220.90591201396,95887.19879023131
06/23/20,,,,859.7066918354644,27306.09087944032,96845.20242872421
06/24/20,,,,819.8395221432315,26419.05873545733,97772.10174239942
06/25/20,,,,783.0213755718524,25559.14169417692,98668.83693025121
06/26/20,,,,748.9530492209849,24725.660829989472,99536.38612078952
06/27/20,,,,717.3155979673799,23917.9711569344,100375.7132450982
06/28/20,,,,687.9408448940397,23135.400483746536,101187.6586713594
06/29/20,,,,660.6692043489886,22377.28579573991,101973.04499991107
06/30/20,,,,635.3479780168776,21642.973806873684,102732.67821510941
07/01/20,,,,611.8313549189853,20931.820959752145,103467.34768532884
07/02/20,,,,589.9804114132178,20243.19342562471,104177.82616296204
07/03/20,,,,569.6631111941081,19576.467104385927,104864.86978441993
07/04/20,,,,550.754305292817,18931.027624575458,105529.2180701317
07/05/20,,,,533.1357320771322,18306.27034337811,106171.59392454474
07/06/20,,,,516.6960172514689,17701.600346623807,106792.7036361247
07/07/20,,,,501.33067385687,17116.432448787607,107393.23687735549
07/08/20,,,,486.9421022710052,16550.191192989692,107973.86670473928
07/09/20,,,,473.43959020817175,16002.310850995374,108535.24955879644
07/10/20,,,,460.73931271929433,15472.23542321509,109078.0252640656
07/11/20,,,,448.7643321919248,14959.418638704414,109602.81702910364
07/12/20,,,,437.44459835024236,14463.323955164033,110110.2314464857
07/13/20,,,,426.7169482550537,13983.424558939772,110600.85849280516
07/14/20,,,,416.5251063037927,13519.203365022586,111075.2715286736
07/15/20,,,,406.812252032846,13069.966650917595,111534.22109704954
07/16/20,,,,397.5463410659793,12635.036975870733,111978.41668306326
07/17/20,,,,388.7201722180008,12214.047119421883,112408.23270836008
07/18/20,,,,380.3259576745526,11806.635498649777,112824.03854367565
07/19/20,,,,372.35521360244985,11412.444405920147,113226.20038047737
07/20/20,,,,364.7987601496806,11031.12000888573,113615.08123096456
07/21/20,,,,357.6467214454059,10662.312350486263,113991.0409280683
07/22/20,,,,350.8885255999597,10305.675348948495,114354.43612545151
07/23/20,,,,344.5129047048489,9960.86679778617,114705.62029750895
07/24/20,,,,338.50789483275344,9627.548365800038,115044.94373936718
07/25/20,,,,332.8608360375262,9305.385597077851,115372.7535668846
07/26/20,,,,327.558372354193,8994.047910994372,115689.39371665141
07/27/20,,,,322.5864517989526,8693.208602211358,115995.20494598967
07/28/20,,,,317.9303263691767,8402.544840677572,116290.52483295322
07/29/20,,,,313.57455204341005,8121.737671628786,116575.68777632777
07/30/20,,,,309.5029887813702,7850.472015587768,116851.02499563084
07/31/20,,,,305.69880052394785,7588.436668364295,117116.86453111173
08/01/20,,,,302.14445519320657,7335.324301055141,117373.53124375163
08/02/20,,,,298.8217246923828,7090.831460044094,117621.34681526349
08/03/20,,,,295.71168490588605,6854.658567001937,117860.62974809215
08/04/20,,,,292.7947156992989,6626.509918886455,118091.69536541423
08/05/20,,,,290.0505009193765,6406.093687942444,118314.85581113816
08/06/20,,,,287.45802839404735,6193.121921701698,118530.42004990423
08/07/20,,,,284.9955899324128,5987.310542983014,118738.69386708456
08/08/20,,,,282.6407813247471,5788.3793498922005,118939.97986878303
08/09/20,,,,280.3705023424974,5596.052015822058,119134.57748183543
08/10/20,,,,278.16095673828397,5410.0560894524,119322.78295380929
08/11/20,,,,275.9876522459,5230.122994750038,119504.88935300404
08/12/20,,,,273.82540058031145,5055.988030968785,119681.18656845088
08/13/20,,,,271.6483174376575,4887.390372649466,119851.96130991286
08/14/20,,,,269.42982249525016,4724.0730696199025,120017.49710788483
08/15/20,,,,267.227436388511,4565.989099507556,120177.78346410391
08/16/20,,,,265.1150182175829,4413.152644551546,120332.73233723085
08/17/20,,,,263.0887824054519,4265.4009902549515,120482.51022733958
08/18/20,,,,261.14505866696675,4122.574835796686,120627.28010553632
08/19/20,,,,259.2802925697331,3984.518295365484,120767.20141206475
08/20/20,,,,257.49104553411377,3851.078898159897,120902.43005630597
08/21/20,,,,255.77399483322858,3722.1075883882986,121033.11841677845
08/22/20,,,,254.1259335929547,3597.458725268878,121159.41534113814
08/23/20,,,,252.5437707919262,3476.9900830296474,121281.4661461784
08/24/20,,,,251.02453126153432,3360.562850908436,121399.41261783
08/25/20,,,,249.56535568592744,3248.0416331528913,121513.39301116116
08/26/20,,,,248.16350060201103,3139.2944490204836,121623.54205037748
08/27/20,,,,246.8163383994477,3034.192732778499,121729.99092882202
08/28/20,,,,245.52135732065707,2932.6113337040433,121832.86730897527
08/29/20,,,,244.276161460816,2834.428516084044,121932.29532245512
08/30/20,,,,243.0784707678584,2739.525959215246,122028.39557001687
08/31/20,,,,241.92612104247524,2647.788757404212,122121.28512155329
09/01/20,,,,240.81706393811473,2559.105419967328,122211.07751609453
